Series Name,Series Code,Country Name,Country Code,2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Japan,JPN,35360,35660,39000,41280,40590,39310,39380,39230,43910,47470,50060,48850,44440,39380,38460,38930,41800,41970,40940,43670
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Norway,NOR,39930,44830,54290,64050,70300,78750,87850,88130,88940,90920,99750,104830,105070,93440,81870,76230,80970,82430,78610,81770
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Australia,AUS,20210,21380,25850,30740,34600,37390,42410,44100,46750,50410,60290,66080,65220,60520,54100,51480,53080,54890,53630,57180
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,"Korea, Rep.",KOR,12850,13790,16200,18520,20800,23440,23860,22040,22280,23580,25650,26970,28160,28720,29330,30290,32740,33830,33040,35180
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Canada,CAN,23590,25480,29530,34310,37900,41540,44930,43230,44490,47190,51080,52800,52200,47580,43900,42900,45060,46580,43900,48780
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,United Kingdom,GBR,29190,32260,37820,42710,44850,47390,48380,44080,41760,41100,41800,42790,44580,44380,42960,41660,42020,43240,38770,45510
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Switzerland,CHE,40640,46660,55000,62770,65290,64120,64870,71800,79040,81330,86720,90590,88250,86810,83360,80770,82470,83160,81740,90810
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Italy,ITA,20760,23400,28360,32470,34250,35920,37980,37970,37910,37930,36170,35550,34920,33030,31960,31370,33850,34890,32430,36410
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Sweden,SWE,29130,32690,39690,45690,49090,52180,55370,52390,54380,56450,58840,61530,61350,57910,53980,52330,55090,56230,54670,60530
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Brazil,BRA,3120,3010,3370,4030,4890,6240,7680,8400,9750,11210,12460,12950,12280,10330,9050,8830,9320,9410,8080,8060
