Series Name,Series Code,Country Name,Country Code,2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,Indonesia,IDN,5.33166540587168,5.33166271089821,4.81186056076688,5.18895658433425,5.97919932017881,5.33166195948767,5.33166523592105,5.33166275278061,8.1611761672718,7.33131618259862,7.18169089447237,6.03903442538083,4.53919560319613,4.01167974454538,4.15256165418808,2.81376272761687,2.48064110151178,2.87236340824017,2.82977894811432,2.96484588102544
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,Philippines,PHL,1.49617293652189,2.08756367071273,1.85775231743528,1.66110557928578,2.01879678512007,2.16911447701681,1.40896412427388,1.09044112054504,0.974258932724755,0.427770133092169,0.336944450073562,0.302741342034846,0.243471265637881,0.466637695797107,0.28435223204509,0.267733904653961,0.17298329175016,0.211290333960482,0.231839154859663,0.160512390530746
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,"Egypt, Arab Rep.",EGY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,Colombia,COL,32.539980199017,27.9681721004546,21.415735138295,17.8553298799984,17.4685152131677,18.063979012988,11.3363843133867,11.2688681298307,16.5860398043185,8.98520247909044,8.30484593719529,7.06737598975599,5.51807958753749,8.1328924266064,10.958932691952,7.56340092311923,8.60054415328542,11.0968509556754,9.39946196807088,9.84678022430195
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,Argentina,ARG,0.659891777748449,0.647891739380323,0.599970001499925,1.18248085507187,0.871397884326997,1.64509980940917,0.521433395574272,0.452264023871675,0.262773722627737,0,0,0,0,0,0,0,0,0,0,0
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,Viet Nam,VNM,0.804391671962591,0.645996273639025,0.410616343885526,0.318173161206049,0.365870887385031,0.262354707213972,0.179997458635617,0.253071373344446,0.271883598862116,0.255128333683165,0.298385926321924,0.257461978060776,0.234266844272424,0.137333591565424,0.0606266125389472,0.0656264537060346,0.04477431749723,0.045334519095459,0.0193179692675537,0.00524829393207987
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,Morocco,MAR,0.000648423974814394,0.000134855992342877,3.32965694810836E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,Nigeria,NGA,393.203372071329,393.80679658473,402.383849911487,408.652728094781,411.684894369671,414.044504501705,415.766462755254,403.541379408995,376.203694140286,351.645064915248,327.607986823015,308.604795500304,298.158957373652,294.110655530644,295.056131936383,299.073684784563,300.68534116565,301.908143733329,312.650935492847,306.462483682388
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,Ethiopia,ETH,259.368208251533,262.431868146379,245.716447569574,167.653766861665,154.228355270258,131.354516947121,111.357616072987,149.343786093307,171.807255624258,176.268039797623,204.059547040047,235.024403425947,214.991870147878,182.25677344616,123.964326124143,90.1599107420309,36.96423483061,34.0866592591258,53.0524726997752,46.2621638357454
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,Haiti,HTI,9.66504953609261,9.66501482592164,9.66505057908244,9.6650764370323,9.80819784586614,8.70787004111086,10.4683766862188,9.66498595624846,9.66507748334769,9.16220726403153,7.25764214381968,6.82307604875711,3.5600535314067,3.41019706669015,3.79013047058462,3.41263170345362,1.62622829785632,1.77545628012875,4.04643881508519,2.20445159206753
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,Afghanistan,AFG,85.2957457037489,71.0889389885515,39.4251586043368,28.4112545235127,21.2898129597058,22.6320015920494,19.7466931766676,13.0053974709896,13.416947251776,16.0441361978755,9.38050283998142,11.4828640119098,12.634543045441,14.1300865107337,27.4178656915167,29.0292564406936,22.3653423689081,14.1792036951249,8.41320002003349,6.24135737765832
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,Bangladesh,BGD,6.79559192359474,6.79560206199653,6.79563065919523,6.79558382861898,4.45893884554867,8.17178694372001,7.72347431344839,5.09802549942504,4.33381350638823,3.91839058370565,2.15821645358334,1.9032681464696,3.94300591224804,2.67370121662283,1.83629233987756,1.91155626981395,0.702767339850168,1.18860442188651,0.418167756821788,0.491683783004288
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,Uganda,UGA,500.152559311083,484.124679899927,449.82469156976,433.645287865921,421.310380370632,415.413546647964,417.960705098172,423.051331924235,409.436655124848,394.679720016016,376.555968630531,332.344413915011,294.282382767661,253.514779685989,283.137132534608,294.903259896108,262.691580498095,262.691558158758,283.817529248595,262.877545412633
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,Nepal,NPL,1.73308317127307,1.27448688026634,0.648178849162757,0.661551021434777,0.645199573641111,0.724539419275404,0.49802806249791,0.424894079065972,0.493654248316961,0.294876958011415,0.277678771772869,0.248239436619718,0.104320877980558,0.0737051281059977,0.0626599559130977,0.0761160066586234,0.0595499665288119,0.0156448284765496,0.00856479194712449,0.00366863301574818
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,Mozambique,MOZ,495.353396581087,481.253681576363,454.176849758195,425.747734637487,408.315844409973,387.239085225017,374.144700811679,370.818963250323,373.642286784743,370.679137826688,370.404553943439,368.957741195733,358.042397194576,349.808216189652,339.740426332692,328.876659815523,321.885714724619,310.226815414166,314.895645167912,315.881823627792
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,Sudan,SDN,66.6540415943181,61.0887785845713,55.3740495897474,54.6516174696637,52.6785190897404,46.5138197758207,38.6353113066321,34.6297563286143,32.7293850701224,32.5628763967032,33.0652891631729,34.9392920262318,38.5727576987501,42.212430790592,53.2598186001045,53.7765047753924,59.1890296838417,65.5908607328818,73.3983779796907,72.8444750072165
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,Madagascar,MDG,52.2030237857059,66.5792913800312,45.7040342508214,35.2727720882929,34.4450990423921,22.1936728800131,22.8809667732626,41.8061350492767,41.1181198222709,36.8503748720588,69.4320010589456,63.4766588808106,44.5276291981789,94.4008815451119,55.2311314354908,75.3296332048914,71.5698559292929,73.2967776207387,142.104516903632,170.274873967912
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,Rwanda,RWA,159.153642974827,140.466284282245,123.172100352451,152.693368566674,150.541323006762,88.2646405061845,69.8897239377321,153.992483076767,104.739718020054,36.9304633895727,59.6278675546344,109.412188607692,202.236962625779,307.959772081994,409.678767710631,709.793326252036,475.897731596271,383.576802481459,211.811069861,117.794844229873
"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,United States,USA,6,5.9,5.7,5.5,5.3,5.1,4.9,4.3,4.1,3.9,3.6,3.3,3.2,3.2,3.1,3,2.9,2.9,2.3,2.6
"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,Germany,DEU,9.3,9.4,8.3,7.6,6.9,6.3,5.6,5.7,5.5,5.5,5.5,5.7,5.9,7.6,7.6,7.1,6.9,6.1,5.3,5
"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,Japan,JPN,30,28,27,24,23,22,22,21,20,20,19,18,18,17,16,15,14,13,12,11
"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,Norway,NOR,6.2,8.4,7.1,6.9,6.8,6.9,7.2,7.8,6.9,7.4,7.9,8.2,6.8,6.3,6.1,5.2,4.1,3.3,3.1,3
"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,Australia,AUS,5.9,5.5,6.1,5.9,6.5,6.1,6.5,6.8,6.5,6.3,6.6,6.2,6.5,6,6.5,6.7,6.6,6.8,7.2,6.5
"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,"Korea, Rep.",KOR,79,83,78,96,94,93,90,95,97,101,94,89,85,79,76,70,64,58,48,44
"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,Canada,CAN,6.1,5.9,5.5,5.5,5.4,5.3,5.4,5.3,4.6,4.8,5.4,5.3,5.1,5.2,5.5,5.6,5.5,5.8,5.3,5.7
"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,United Kingdom,GBR,13,13,13,15,15,15,15,15,14,15,15,13,11,10,9.9,8.9,8,8.1,7,8
"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,Switzerland,CHE,9.4,9,8.6,8,7.3,6.4,7,7.5,7.5,7.6,6,6.6,5.9,7.4,7.9,7.2,6.4,5.4,4.7,4.7
"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,Italy,ITA,7.9,8.7,7.8,7.6,8.1,5.4,8,7.8,8.7,6.5,5.9,5.7,6.3,6.6,7.2,7.3,7.2,6.1,4.2,4.6
"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,Sweden,SWE,4.8,5.1,5.5,6.9,6.2,5.8,6.4,7.1,7.5,6.5,7.2,7.3,7.5,9.2,8.1,5.6,5.4,5.3,3.5,3.8
"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,Brazil,BRA,52,53,54,50,46,46,46,45,44,44,44,44,43,43,43,44,46,46,45,48
"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,India,IND,320,318,315,311,305,298,291,283,276,268,258,248,243,237,225,217,208,202,195,200
"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,South Africa,ZAF,971,1070,1150,1210,1250,1270,1270,1260,1230,1200,1160,1110,1070,988,805,738,677,615,562,513
"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,Mexico,MEX,22,23,18,22,21,21,21,21,22,21,22,22,22,22,22,23,23,23,23,25
"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,Indonesia,IDN,367,366,363,360,357,353,349,345,342,338,335,332,329,325,322,319,316,312,302,342
"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,Philippines,PHL,569,559,549,539,530,520,524,528,531,535,539,543,546,550,554,554,554,554,535,583
"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,"Egypt, Arab Rep.",EGY,24,23,22,21,21,20,19,19,18,17,17,16,15,15,14,13,12,12,11,10
"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,Colombia,COL,35,35,33,30,32,31,32,32,32,33,33,32,31,31,33,33,33,35,34,41
"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,Argentina,ARG,35,33,34,31,28,30,26,22,21,27,24,24,25,26,27,27,27,29,28,29
"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,Viet Nam,VNM,284,278,272,266,260,253,246,239,231,225,218,212,205,199,193,188,182,176,172,169
"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,Morocco,MAR,116,103,99,99,97,94,98,99,101,100,99,99,101,102,103,100,99,97,96,94
"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,Nigeria,NGA,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219
"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,Ethiopia,ETH,393,376,358,341,325,310,296,282,268,253,239,224,207,192,177,164,151,140,129,119
"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,Haiti,HTI,277,277,276,272,266,257,248,238,229,220,213,206,200,194,188,181,176,170,164,159
"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,Afghanistan,AFG,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,183,185
"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,Bangladesh,BGD,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221,221
"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,Uganda,UGA,256,248,240,233,227,222,217,213,210,207,205,203,202,202,201,201,200,200,199,199
"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,Nepal,NPL,393,382,371,360,350,339,329,320,311,302,293,284,276,268,260,253,245,238,229,230
"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,Mozambique,MOZ,339,339,341,342,345,348,351,354,357,359,361,361,361,361,361,361,361,361,361,361
"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,Sudan,SDN,139,138,142,143,146,144,116,121,119,105,103,100,94,88,82,77,71,67,62,58
"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,Madagascar,MDG,280,273,268,262,257,252,248,244,241,238,236,233,233,233,233,233,233,233,233,233
"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,Rwanda,RWA,89,100,93,102,112,106,101,95,83,80,72,66,65,61,62,58,59,57,57,56
Children with fever receiving antimalarial drugs (% of children under age 5 with fever),SH.MLR.TRET.ZS,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Children with fever receiving antimalarial drugs (% of children under age 5 with fever),SH.MLR.TRET.ZS,Germany,DEU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Children with fever receiving antimalarial drugs (% of children under age 5 with fever),SH.MLR.TRET.ZS,Japan,JPN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Children with fever receiving antimalarial drugs (% of children under age 5 with fever),SH.MLR.TRET.ZS,Norway,NOR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Children with fever receiving antimalarial drugs (% of children under age 5 with fever),SH.MLR.TRET.ZS,Australia,AUS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Children with fever receiving antimalarial drugs (% of children under age 5 with fever),SH.MLR.TRET.ZS,"Korea, Rep.",KOR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Children with fever receiving antimalarial drugs (% of children under age 5 with fever),SH.MLR.TRET.ZS,Canada,CAN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Children with fever receiving antimalarial drugs (% of children under age 5 with fever),SH.MLR.TRET.ZS,United Kingdom,GBR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Children with fever receiving antimalarial drugs (% of children under age 5 with fever),SH.MLR.TRET.ZS,Switzerland,CHE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Children with fever receiving antimalarial drugs (% of children under age 5 with fever),SH.MLR.TRET.ZS,Italy,ITA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Children with fever receiving antimalarial drugs (% of children under age 5 with fever),SH.MLR.TRET.ZS,Sweden,SWE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Children with fever receiving antimalarial drugs (% of children under age 5 with fever),SH.MLR.TRET.ZS,Brazil,BRA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Children with fever receiving antimalarial drugs (% of children under age 5 with fever),SH.MLR.TRET.ZS,India,IND,..,..,..,..,8.4,..,..,..,..,..,..,..,..,..,20.1,..,..,..,..,25.2
Children with fever receiving antimalarial drugs (% of children under age 5 with fever),SH.MLR.TRET.ZS,South Africa,ZAF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.5,..,..,..,..,..
Children with fever receiving antimalarial drugs (% of children under age 5 with fever),SH.MLR.TRET.ZS,Mexico,MEX,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Children with fever receiving antimalarial drugs (% of children under age 5 with fever),SH.MLR.TRET.ZS,Indonesia,IDN,..,0.7,..,..,..,0.8,..,..,..,..,0.8,..,..,..,..,0.2,..,..,..,..
Children with fever receiving antimalarial drugs (% of children under age 5 with fever),SH.MLR.TRET.ZS,Philippines,PHL,..,0.2,..,..,..,..,0,..,..,..,..,0.1,..,..,..,0.3,..,..,..,..
Children with fever receiving antimalarial drugs (% of children under age 5 with fever),SH.MLR.TRET.ZS,"Egypt, Arab Rep.",EGY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Children with fever receiving antimalarial drugs (% of children under age 5 with fever),SH.MLR.TRET.ZS,Colombia,COL,..,..,..,0.1,..,..,..,..,3.6,..,..,..,..,..,..,..,..,..,..,..
Children with fever receiving antimalarial drugs (% of children under age 5 with fever),SH.MLR.TRET.ZS,Argentina,ARG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Children with fever receiving antimalarial drugs (% of children under age 5 with fever),SH.MLR.TRET.ZS,Viet Nam,VNM,..,..,..,..,3,..,..,..,..,1.2,..,..,..,..,..,..,..,..,..,..
Children with fever receiving antimalarial drugs (% of children under age 5 with fever),SH.MLR.TRET.ZS,Morocco,MAR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Children with fever receiving antimalarial drugs (% of children under age 5 with fever),SH.MLR.TRET.ZS,Nigeria,NGA,..,34.3,..,..,..,..,33.2,..,49.1,44.6,..,32.7,27.3,41.2,..,..,43.5,..,..,..
Children with fever receiving antimalarial drugs (% of children under age 5 with fever),SH.MLR.TRET.ZS,Ethiopia,ETH,..,..,..,3.7,..,10,..,..,..,3.6,..,..,..,..,7.7,..,..,..,..,..
Children with fever receiving antimalarial drugs (% of children under age 5 with fever),SH.MLR.TRET.ZS,Haiti,HTI,..,..,..,..,5.1,..,..,..,..,..,2.5,..,..,..,..,1.1,..,..,..,..
Children with fever receiving antimalarial drugs (% of children under age 5 with fever),SH.MLR.TRET.ZS,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,..,11.8,..,..,..,..,..,..
Children with fever receiving antimalarial drugs (% of children under age 5 with fever),SH.MLR.TRET.ZS,Bangladesh,BGD,..,..,..,..,..,..,..,..,..,0.6,..,..,5,..,..,..,..,..,..,..
Children with fever receiving antimalarial drugs (% of children under age 5 with fever),SH.MLR.TRET.ZS,Uganda,UGA,..,..,..,..,61.3,..,..,59.6,..,64.5,..,..,..,76.9,71.5,..,..,62.5,..,..
Children with fever receiving antimalarial drugs (% of children under age 5 with fever),SH.MLR.TRET.ZS,Nepal,NPL,..,..,..,..,0.1,..,..,..,..,24.2,..,..,..,..,2,..,..,..,..,..
Children with fever receiving antimalarial drugs (% of children under age 5 with fever),SH.MLR.TRET.ZS,Mozambique,MOZ,..,14.9,..,..,..,23,36.7,..,..,29.9,..,..,..,38.4,..,..,32.7,..,..,..
Children with fever receiving antimalarial drugs (% of children under age 5 with fever),SH.MLR.TRET.ZS,Sudan,SDN,..,..,..,..,54,..,..,35.8,65,..,..,..,..,..,..,..,..,..,..,..
Children with fever receiving antimalarial drugs (% of children under age 5 with fever),SH.MLR.TRET.ZS,Madagascar,MDG,..,..,34.2,..,..,..,..,19.7,..,19.8,..,11.2,..,..,10.1,..,..,..,..,15.3
Children with fever receiving antimalarial drugs (% of children under age 5 with fever),SH.MLR.TRET.ZS,Rwanda,RWA,..,..,..,15.5,..,..,5.6,..,10.8,..,..,12,..,11.4,..,19.6,..,..,8.1,..
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,United States,USA,99.8721627616169,99.8718834250543,99.8716037773494,99.8713272103744,99.8710524781437,99.8707787114875,99.8705068722893,99.8702364002097,99.8705355052484,99.8480016378479,99.825901850785,99.8042409964063,99.7830451200914,99.7623186306178,99.7420807276925,99.7223539880949,99.7031302163727,99.6844350554525,99.6662736189595,99.6486678114382
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Germany,DEU,99.2193428611343,99.2199574833481,99.2205648970116,99.2211750434826,99.2217747465554,99.2223735826062,99.2229659771362,99.2235618579048,99.2241473321448,99.2247315605617,99.2247623529587,99.2247917702079,99.2248247708943,99.2248518459625,99.2249269225143,99.2250364212723,99.2251929444336,99.2253840840528,99.2256171729146,99.2258922058797
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Japan,JPN,99.9966142135669,99.9936679503193,99.9907216870716,99.9877754238239,99.9848291605762,99.9818828973285,99.9789366340809,99.9759903708332,99.9730441075855,99.9700978443378,99.9671515810901,99.9642053178424,99.9612590545948,99.9583127913471,99.9553665280994,99.9524202648517,99.949474001604,99.9465277383563,99.9435814751087,99.940635211861
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Norway,NOR,98.06979811135,98.0687452129224,98.0678051328673,98.0669716567859,98.0661507577549,98.0652985498145,98.0644205669027,98.0635557187896,98.0626945664686,98.0616332804533,98.0603773910058,98.0591413909472,98.0579200068589,98.0567284959559,98.0555443701458,98.0543875249947,98.0532516234539,98.0521507255644,98.0510800306143,98.0500342444507
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Australia,AUS,99.9917523822512,99.9922507381752,99.9927490940993,99.9932474500233,99.9937458059473,99.9942441618714,99.9947425177954,99.9952408737194,99.9957392296434,99.9962375855675,99.9967359414915,99.9972342974155,99.9977326533395,99.9982310092636,99.9987293651876,99.9992277211116,99.9997260770357,100,100,100
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,"Korea, Rep.",KOR,100,100,100,100,100,100,99.9905146267539,99.9781051716311,99.9656957165082,99.9532862613854,99.9408768062626,99.9284673511397,99.9160578960169,99.9036484408941,99.8912389857713,99.8788295306484,99.8664200755256,99.8540106204028,99.8416011652799,99.8291917101571
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Canada,CAN,99.8693423385411,99.8698578955467,99.870363930459,99.8639633593088,99.8430141586711,99.7607594665167,99.6782744503742,99.5955579339671,99.5126201247374,99.4293799049063,99.3455538928115,99.2616789369925,99.177750681856,99.0937756062702,99.0097512478276,98.9256765118876,98.8415415919231,98.7573271465461,98.6730053902748,98.5885660943908
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,United Kingdom,GBR,99.1282474145289,99.1269663729202,99.1256963098224,99.1244483928736,99.1231985838478,99.1219720252075,99.1207558594352,99.1195555384368,99.118367727228,99.1171871098557,99.1160215787313,99.1148573201611,99.1137029504261,99.112560824957,99.1114178871091,99.110295031354,99.1091763800498,99.108060025279,99.1069646667048,99.1058694265163
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Switzerland,CHE,99.8809824980631,99.8810046485801,99.8810190736568,99.8810399898821,99.8810610841324,99.8810752621757,99.8810926001485,99.8811096720377,99.8811285661122,99.8840035898045,99.8868721958477,99.8897331821113,99.8925889720649,99.895441126539,99.8982954640727,99.8998737205154,99.8998745805806,99.899872396117,99.8998713422797,99.8998738850558
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Italy,ITA,99.8859002298084,99.8858756040117,99.8858521444467,99.8858280494172,99.8858014767204,99.8857795005713,99.885752544021,99.8857326917431,99.8857062365452,99.8856857988446,99.885637952954,99.8855737262024,99.885520077857,99.8854580988153,99.8854007385299,99.8853395801511,99.8852860542768,99.8852240140235,99.8851587287766,99.8850967615747
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Sweden,SWE,99.177421446522,99.1616384999579,99.1458237487489,99.1299694658713,99.1141273291373,99.0982564446482,99.0822922746315,99.0662426749264,99.0500976840453,99.0338223555412,99.0173494884618,99.0006982963086,98.9838638258218,98.9668669088397,98.9497051029324,98.932379673507,98.9149080830485,98.8972906623906,98.8795436059556,98.8616651743284
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Brazil,BRA,74.9279834778336,75.8126402714995,76.6915371557584,77.5647914194703,78.4329110515648,79.2959780376904,80.154078978513,81.0065268837533,81.854207204088,82.7005761863484,83.5422241377624,84.3785142207398,85.2106414441147,86.0379594237602,86.8602432937162,87.6779592819379,88.4905439034498,89.298795927984,90.0784764801568,90.8109852394536
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,India,IND,19.5366220956603,22.3687658590963,25.2200839820911,28.0895366732874,30.9773052982116,33.8835011422482,36.8078425757573,39.7494111123946,42.7083153635918,45.6845928363292,48.6803118983771,51.6944537516583,54.7265188290698,57.7757201395978,60.8412572070892,63.8303891457709,66.7481167689947,69.6631460883283,72.5751023190604,75.4837376494401
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,South Africa,ZAF,61.2986722518923,62.1815317379067,63.0586665106855,63.9292262025283,64.7935120547602,65.6513476304217,66.502742509829,67.3468296875647,68.1840155796529,69.0139950902221,69.8367637621794,70.651821622223,71.4594340460674,72.2593538106544,73.0514660605434,73.8356009676614,74.6116795396623,75.3796452913204,76.1394549830099,76.8909933152341
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Mexico,MEX,79.2657534926557,80.0105060107886,80.7461576631509,81.4723548482518,82.1895486593841,82.8976759186884,83.5973565911458,84.288329732509,84.9709827739648,85.6461713546529,86.3134473539737,86.9732305633495,87.6255975088182,88.2703403132952,88.9078238625309,89.5378931953636,90.1607704691038,90.7765580654672,91.3853355718832,91.9871311173379
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Indonesia,IDN,44.4149716714658,46.5416632231283,48.6862011052539,50.8459818744068,53.0210842646296,55.2099624923316,57.4122949055182,59.6260299511536,61.8456968664636,64.0515484353717,66.2697088884734,68.4990104492093,70.7394179842329,72.9895935526156,75.2488988194538,77.5160586155665,79.7909218571099,82.0727007179025,84.3612056704486,86.6556351727463
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Philippines,PHL,65.0950702025269,65.5263855404339,65.9585302750487,66.3915052686544,66.8253087510555,67.8567880522006,68.9006268568623,69.9569848507723,71.030981112432,72.1406646797649,73.2569909040697,74.3799524340426,75.5092773639833,76.6450187833517,77.7870061557449,78.9357627890643,80.0906894479524,81.2510265893959,82.4160477401007,83.5850134229835
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,"Egypt, Arab Rep.",EGY,91.8580995381136,92.1718235585916,92.4858978069016,92.8003242543512,93.1150933728137,93.4279651849764,93.7399490225332,94.0524838097041,94.3654653837058,94.6790002685632,94.9913271486837,95.3042855607555,95.6177859083195,95.9318698997967,96.2465784166378,96.5629903922749,96.8810007737248,97.2005582635653,97.5215610615812,97.5246503198928
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Colombia,COL,77.2165816983729,78.1105144810919,79.0025604937672,79.8927082484828,80.7809581807122,81.6671233440099,82.5514083234022,83.4338012855543,84.314142164482,85.1924601803427,86.0689202628907,86.9433990132741,87.8159017312967,88.6866119402668,89.5555442261651,90.4225796256359,91.2877514825982,92.151091537794,93.0127700372276,93.8726777763574
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Argentina,ARG,88.6033940308795,89.0695626056267,89.535067661347,89.9997328171333,90.463786071511,90.9270366712693,91.389714779665,91.851632903701,92.3128297975777,92.7707536939526,93.2268007089789,93.6231264544083,94.0211238749445,94.4204081447428,94.8209556611028,..,..,..,..,..
People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,Viet Nam,VNM,53.7733307136486,55.6610180671033,57.5360831029729,59.5286616918363,61.5157405336314,63.4968621085174,65.4712734511092,67.4390971760659,69.402687859004,71.3578768731801,73.3044674223444,75.2410877450653,77.1682490796006,79.0852681426575,80.9915192718719,82.8857598257307,84.7679404136642,86.6378024979776,88.4951079600396,90.3392606873517
