series_name,country_name,category,income_group,year,value
"GNI per capita, Atlas method (current US$)",Haiti,Demographics & Socioeconomics,Low-Income Countries,2002,740.0
"GNI per capita, Atlas method (current US$)",Afghanistan,Demographics & Socioeconomics,Low-Income Countries,2002,180.0
"GNI per capita, Atlas method (current US$)",Bangladesh,Demographics & Socioeconomics,Low-Income Countries,2002,420.0
"GNI per capita, Atlas method (current US$)",Uganda,Demographics & Socioeconomics,Low-Income Countries,2002,250.0
"GNI per capita, Atlas method (current US$)",Nepal,Demographics & Socioeconomics,Low-Income Countries,2002,230.0
"GNI per capita, Atlas method (current US$)",Mozambique,Demographics & Socioeconomics,Low-Income Countries,2002,300.0
"GNI per capita, Atlas method (current US$)",Sudan,Demographics & Socioeconomics,Low-Income Countries,2002,420.0
"GNI per capita, Atlas method (current US$)",Madagascar,Demographics & Socioeconomics,Low-Income Countries,2002,260.0
"GNI per capita, Atlas method (current US$)",Rwanda,Demographics & Socioeconomics,Low-Income Countries,2002,260.0
Poverty headcount ratio at national poverty line (% of population),United States,Demographics & Socioeconomics,High-Income Countries,2002,260.0
Poverty headcount ratio at national poverty line (% of population),Germany,Demographics & Socioeconomics,High-Income Countries,2002,260.0
Poverty headcount ratio at national poverty line (% of population),Japan,Demographics & Socioeconomics,High-Income Countries,2002,260.0
Poverty headcount ratio at national poverty line (% of population),Norway,Demographics & Socioeconomics,High-Income Countries,2002,260.0
Poverty headcount ratio at national poverty line (% of population),Australia,Demographics & Socioeconomics,High-Income Countries,2002,260.0
Poverty headcount ratio at national poverty line (% of population),"Korea, Rep.",Demographics & Socioeconomics,High-Income Countries,2002,260.0
Poverty headcount ratio at national poverty line (% of population),Canada,Demographics & Socioeconomics,High-Income Countries,2002,260.0
Poverty headcount ratio at national poverty line (% of population),United Kingdom,Demographics & Socioeconomics,High-Income Countries,2002,260.0
Poverty headcount ratio at national poverty line (% of population),Switzerland,Demographics & Socioeconomics,High-Income Countries,2002,260.0
Poverty headcount ratio at national poverty line (% of population),Italy,Demographics & Socioeconomics,High-Income Countries,2002,260.0
Poverty headcount ratio at national poverty line (% of population),Sweden,Demographics & Socioeconomics,High-Income Countries,2002,260.0
Poverty headcount ratio at national poverty line (% of population),Brazil,Demographics & Socioeconomics,Middle-Income Countries,2002,260.0
Poverty headcount ratio at national poverty line (% of population),India,Demographics & Socioeconomics,Middle-Income Countries,2002,260.0
Poverty headcount ratio at national poverty line (% of population),South Africa,Demographics & Socioeconomics,Middle-Income Countries,2002,260.0
Poverty headcount ratio at national poverty line (% of population),Mexico,Demographics & Socioeconomics,Middle-Income Countries,2002,260.0
Poverty headcount ratio at national poverty line (% of population),Indonesia,Demographics & Socioeconomics,Middle-Income Countries,2002,18.2
Poverty headcount ratio at national poverty line (% of population),Philippines,Demographics & Socioeconomics,Middle-Income Countries,2002,18.2
Poverty headcount ratio at national poverty line (% of population),"Egypt, Arab Rep.",Demographics & Socioeconomics,Middle-Income Countries,2002,18.2
Poverty headcount ratio at national poverty line (% of population),Colombia,Demographics & Socioeconomics,Middle-Income Countries,2002,18.2
Poverty headcount ratio at national poverty line (% of population),Argentina,Demographics & Socioeconomics,Middle-Income Countries,2002,18.2
Poverty headcount ratio at national poverty line (% of population),Viet Nam,Demographics & Socioeconomics,Middle-Income Countries,2002,18.2
Poverty headcount ratio at national poverty line (% of population),Morocco,Demographics & Socioeconomics,Middle-Income Countries,2002,18.2
Poverty headcount ratio at national poverty line (% of population),Nigeria,Demographics & Socioeconomics,Low-Income Countries,2002,18.2
Poverty headcount ratio at national poverty line (% of population),Ethiopia,Demographics & Socioeconomics,Low-Income Countries,2002,18.2
Poverty headcount ratio at national poverty line (% of population),Haiti,Demographics & Socioeconomics,Low-Income Countries,2002,18.2
